NGRAM,NCOUNT,LEN,WCOUNT,MASKED,IMPORTANCE,REDUNDANT
ციელებ,7,6,211,cიელებ,1477,False
ენტის>,6,6,246,ენtის>,1476,False
<აღდგე,6,6,245,<აგდგე,1470,False
<მოქმე,5,6,294,<მოkმე,1470,False
პკურებ,6,6,244,pkურებ,1464,False
<ორგან,5,6,292,<ორგან,1460,False
<მონაწ,7,6,208,<მონაc,1456,False
თრებულ,6,6,242,tრებულ,1452,False
ფერული,5,6,290,pერული,1450,False
კრავი>,6,6,241,kრავი>,1446,False
ემკვიდ,7,6,206,ემkვიდ,1442,False
აზღაურ,6,6,240,აზგაურ,1440,False
ერცხლი,6,6,239,ერcხლი,1434,False
ნაზღაუ,6,6,239,ნაზგაუ,1434,False
<სპეცი,6,6,238,<სpეcი,1428,False
აწარმო,5,6,285,აcარმო,1425,False
დამატე,5,6,285,დამაtე,1425,False
ახინჯე,6,6,237,ახინjე,1422,False
<გრავი,7,6,203,<გრავი,1421,False
როგრამ,6,6,236,როგრამ,1416,False
<ნივთი,6,6,235,<ნივtი,1410,False
<მართვ,5,6,281,<მარtვ,1405,False
კვერცხ,6,6,234,kვერcხ,1404,False
რეგული,6,6,234,რეგული,1404,False
უწყვეტ,6,6,234,უcყვეt,1404,False
ნადგურ,5,6,280,ნადგურ,1400,False
ოელექტ,5,6,280,ოელეkt,1400,False
ალკევე,6,6,233,ალkევე,1398,False
ლკევებ,6,6,233,ლkევებ,1398,False
<დააკა,5,6,279,<დააkა,1395,False
კუთხა>,8,6,174,kუtხა>,1392,False
მემკვი,7,6,198,მემkვი,1386,False
<ნაპირ,6,6,231,<ნაpირ,1386,False
ეგულირ,6,6,231,ეგულირ,1386,False
აკვირვ,6,6,230,აkვირვ,1380,False
<გადაბ,6,6,230,<გადაბ,1380,False
სუსტებ,5,6,276,სუსtებ,1380,False
<კრისტ,5,6,276,<kრისt,1380,False
ამიკურ,5,6,276,ამიkურ,1380,False
ნამიკუ,5,6,276,ნამიkუ,1380,False
ანტური,7,6,196,ანtური,1372,False
აფართო,7,6,195,აpარtო,1365,False
<პირვე,5,6,273,<pირვე,1365,False
ფრინავ,5,6,272,pრინავ,1360,False
გულირე,6,6,226,გულირე,1356,False
წორებუ,6,6,226,cორებუ,1356,False
ვირთვა,6,6,226,ვირtვა,1356,False
<ვერცხ,5,6,271,<ვერcხ,1355,False
<მემკვ,7,6,193,<მემkვ,1351,False
ასწორო,6,6,225,ასcორო,1350,False
<მოწყო,5,6,270,<მოcყო,1350,False
ალთვალ,6,6,224,ალtვალ,1344,False
ენერგი,6,6,224,ენერგი,1344,False
აქტორი,6,6,224,აktორი,1344,False
ცემენტ,5,6,268,cემენt,1340,False
მარცხე,5,6,268,მარcხე,1340,False
პროექტ,5,6,268,pროეkt,1340,False
აკერებ,6,6,223,აkერებ,1338,False
ეთანხმ,5,6,267,ეtანხმ,1335,False
ნათესა,5,6,267,ნაtესა,1335,False
ატებულ,5,6,267,აtებულ,1335,False
რგებლო,6,6,222,რგებლო,1332,False
<დაქან,7,6,190,<დაkან,1330,False
სიკვდი,7,6,190,სიkვდი,1330,False
იკვდილ,7,6,190,იkვდილ,1330,False
ვულკან,5,6,266,ვულkან,1330,False
იფიცირ,5,6,265,იpიcირ,1325,False
აწევი>,5,6,265,აcევი>,1325,False
აქცია>,6,6,220,აkcია>,1320,False
პროგრა,6,6,220,pროგრა,1320,False
ატორულ,6,6,220,აtორულ,1320,False
ანადგუ,5,6,264,ანადგუ,1320,False
ფილება,7,6,188,pილება,1316,False
<მდგომ,5,6,263,<მდგომ,1315,False
რიცხვი,6,6,219,რიcხვი,1314,False
წერტილ,6,6,219,cერtილ,1314,False
არცხნი,6,6,219,არcხნი,1314,False
დგამს>,7,6,186,დგამს>,1302,False
<ცხვირ,6,6,217,<cხვირ,1302,False
<სისტე,6,6,216,<სისtე,1296,False
კალური,6,6,215,kალური,1290,False
ოწყობი,6,6,215,ოcყობი,1290,False
<გამორ,5,6,258,<გამორ,1290,False
დაკარგ,5,6,257,დაkარგ,1285,False
აგონებ,5,6,256,აგონებ,1280,False
ტრირებ,5,6,255,tრირებ,1275,False
ინფორმ,7,6,182,ინpორმ,1274,False
<მკვლე,6,6,212,<მkვლე,1272,False
ითხვა>,6,6,212,იtხვა>,1272,False
რანსპო,5,6,254,რანსpო,1270,False
გარიშე,6,6,211,გარიშე,1266,False
საწევი,5,6,253,საcევი,1265,False
<შეერთ,5,6,253,<შეერt,1265,False
მტერებ,8,6,158,მtერებ,1264,False
აკმაყო,6,6,210,აkმაყო,1260,False
<დანაწ,6,6,210,<დანაc,1260,False
მფრინა,5,6,252,მpრინა,1260,False
<გამოშ,6,6,208,<გამოშ,1248,False
ელეგრა,6,6,208,ელეგრა,1248,False
ტელეგრ,6,6,208,tელეგრ,1248,False
ლაციო>,6,6,207,ლაcიო>,1242,False
<სითბო,6,6,207,<სიtბო,1242,False
აკება>,6,6,206,აkება>,1236,False
რაციულ,5,6,247,რაcიულ,1235,False
ამგზავ,5,6,246,ამგზავ,1230,False
მინანქ,7,6,175,მინანk,1225,False
დგომა>,5,6,245,დგომა>,1225,False
კრიტიკ,6,6,204,kრიtიk,1224,False
სტრუქტ,5,6,244,სtრუkt,1220,False
აცებულ,6,6,203,აcებულ,1218,False
კანკალ,6,6,202,kანkალ,1212,False
<ექსპე,6,6,202,<ეkსpე,1212,False
ტარება,5,6,242,tარება,1210,False
<საქონ,5,6,242,<საkონ,1210,False
<უსაქმ,6,6,201,<უსაkმ,1206,False
იმპულს,5,6,241,იმpულს,1205,False
ტიზაცი,5,6,241,tიზაcი,1205,False
გვიანე,5,6,241,გვიანე,1205,False
სგავსე,6,6,200,სგავსე,1200,False
დიფერე,6,6,200,დიpერე,1200,False
იფერენ,6,6,200,იpერენ,1200,False
ვარგის,5,6,240,ვარგის,1200,False
რანტი>,7,6,171,რანtი>,1197,False
<დატვი,5,6,239,<დაtვი,1195,False
აორთქლ,5,6,239,აორtkლ,1195,False
ვეთილი,6,6,199,ვეtილი,1194,False
<მოგზა,6,6,199,<მოგზა,1194,False
ინაცია,7,6,170,ინაcია,1190,False
<გამოძ,5,6,238,<გამოძ,1190,False
ტრუქცი,6,6,198,tრუkcი,1188,False
სტრუქც,6,6,198,სtრუkc,1188,False
ხელმძღ,6,6,198,ხელმძგ,1188,False
სტურებ,5,6,237,სtურებ,1185,False
თანაბა,5,6,237,tანაბა,1185,False
პეციალ,5,6,237,pეcიალ,1185,False
სპეცია,5,6,237,სpეcია,1185,False
ამენტი,6,6,197,ამენtი,1182,False
ღვანელ,6,6,197,გვანელ,1182,False
ძღვანე,6,6,197,ძგვანე,1182,False
მძღვან,6,6,197,მძგვან,1182,False
ლმძღვა,6,6,197,ლმძგვა,1182,False
ელმძღვ,6,6,197,ელმძგვ,1182,False
მატარე,5,6,236,მაtარე,1180,False
<აკუმუ,7,6,168,<აkუმუ,1176,False
პასუხი,6,6,196,pასუხი,1176,False
აწყნარ,6,6,196,აcყნარ,1176,False
ადგური,5,6,235,ადგური,1175,False
ადასტუ,5,6,234,ადასtუ,1170,False
აკვეთი,5,6,234,აkვეtი,1170,False
ნსპორტ,5,6,233,ნსpორt,1165,False
უარყოფ,5,6,233,უარყოp,1165,False
ანსპორ,5,6,233,ანსpორ,1165,False
ასტურე,5,6,232,ასtურე,1160,False
ისტემა,6,6,193,ისtემა,1158,False
იტანა>,6,6,193,იtანა>,1158,False
აფეხურ,5,6,231,აpეხურ,1155,False
აკრავი,5,6,231,აkრავი,1155,False
მკვლელ,5,6,231,მkვლელ,1155,False
უთხედი,8,6,144,უtხედი,1152,False
ღიზიან,6,6,192,გიზიან,1152,False
მდგრად,5,6,230,მდგრად,1150,False
საფეხუ,5,6,229,საpეხუ,1145,False
<გრაფი,5,6,229,<გრაpი,1145,False
აფები>,5,6,229,აpები>,1145,False
აკრძალ,5,6,229,აkრძალ,1145,False
პარაკე,5,6,229,pარაkე,1145,False
გდებს>,5,6,229,გდებს>,1145,False
ქტური>,5,6,229,ktური>,1145,False
საქონლ,6,6,190,საkონლ,1140,False
<აღმარ,5,6,228,<აგმარ,1140,False
დგენს>,5,6,227,დგენს>,1135,False
იოგრაფ,5,6,227,იოგრაp,1135,False
ასწორი,5,6,227,ასcორი,1135,False
მართი>,6,6,189,მარtი>,1134,False
მადგენ,5,6,226,მადგენ,1130,False
<დაკარ,5,6,226,<დაkარ,1130,False
ღვრული,5,6,226,გვრული,1130,False
ფორმაც,6,6,188,pორმაc,1128,False
გზნება,6,6,188,გზნება,1128,False
საქმურ,6,6,188,საkმურ,1128,False
უსაქმუ,6,6,188,უსაkმუ,1128,False
<დაუწყ,5,6,225,<დაუcყ,1125,False
ვრცელე,5,6,225,ვრcელე,1125,False
რცელებ,5,6,225,რcელებ,1125,False
ქტიური,5,6,225,ktიური,1125,False
ლემენტ,5,6,225,ლემენt,1125,False
ტკაცუნ,6,6,187,tkაcუნ,1122,False
<ეკონო,6,6,186,<ეkონო,1116,False
ტიკოსი,5,6,223,tიkოსი,1115,False
ეკავებ,6,6,185,ეkავებ,1110,False
კუმულა,6,6,185,kუმულა,1110,False
<ბაგირ,5,6,222,<ბაგირ,1110,False
<შეცდო,5,6,222,<შეcდო,1110,False
<დაწყე,5,6,221,<დაcყე,1105,False
ტურული,5,6,221,tურული,1105,False
შეურაც,6,6,184,შეურაc,1104,False
ექსპერ,6,6,184,ეkსpერ,1104,False
ისტორი,5,6,220,ისtორი,1100,False
ენტული,6,6,183,ენtული,1098,False
<დადგე,6,6,183,<დადგე,1098,False
<მკვეთ,5,6,219,<მkვეt,1095,False
აზოგად,5,6,219,აზოგად,1095,False
ორმაცი,6,6,182,ორმაcი,1092,False
ვიწროე,6,6,182,ვიcროე,1092,False
იწროებ,6,6,182,იcროებ,1092,False
ზარმაც,6,6,181,ზარმაc,1086,False
უქცია>,7,6,155,უkcია>,1085,False
ჯგუფებ,5,6,217,jგუpებ,1085,False
ატებს>,5,6,217,აtებს>,1085,False
<წერტი,6,6,180,<cერtი,1080,False
<კონვე,6,6,180,<kონვე,1080,False
<ვულკა,5,6,216,<ვულkა,1080,False
ზოგადო,5,6,216,ზოგადო,1080,False
კრები>,6,6,179,kრები>,1074,False
რატული,6,6,179,რაtული,1074,False
ანათებ,5,6,214,ანაtებ,1070,False
საზოგა,5,6,214,საზოგა,1070,False
ქმული>,6,6,178,kმული>,1068,False
ხეტიალ,5,6,213,ხეtიალ,1065,False
იგება>,6,6,177,იგება>,1062,False
ნტალურ,5,6,212,ნtალურ,1060,False
რტული>,5,6,212,რtული>,1060,True
შეკავე,6,6,176,შეkავე,1056,False
<საკონ,5,6,211,<საkონ,1055,True
ფებული,5,6,211,pებული,1055,False
ქციული,6,6,175,kcიული,1050,False
იცხვა>,6,6,175,იcხვა>,1050,False
ქირავე,5,6,210,kირავე,1050,False
<ბოროტ,5,6,210,<ბოროt,1050,False
რთობა>,5,6,210,რtობა>,1050,False
<იარაღ,5,6,209,<იარაგ,1045,False
ქრობა>,5,6,209,kრობა>,1045,False
გამოხა,5,6,209,გამოხა,1045,False
<მგზავ,5,6,209,<მგზავ,1045,False
ტატორი,6,6,174,tაtორი,1044,False
წყება>,5,6,208,cყება>,1040,False
კვეთი>,5,6,208,kვეtი>,1040,False
ადუღებ,6,6,173,ადუგებ,1038,False
არანტი,6,6,173,არანtი,1038,False
ხინჯებ,5,6,207,ხინjებ,1035,False
ვალთვა,5,6,207,ვალtვა,1035,False
<სწავლ,5,6,207,<სcავლ,1035,False
აწვრილ,5,6,207,აcვრილ,1035,False
ქციური,5,6,207,kcიური,1035,False
ეურაცხ,6,6,172,ეურაcხ,1032,False
გონები,6,6,172,გონები,1032,False
გვირგვ,5,6,206,გვირგვ,1030,False
ვირგვი,5,6,206,ვირგვი,1030,False
ირგვინ,5,6,206,ირგვინ,1030,False
<თეატრ,6,6,171,<tეაtრ,1026,False
დაწყვე,6,6,171,დაcყვე,1026,False
აღიზია,6,6,170,აგიზია,1020,False
გამოთქ,5,6,204,გამოtk,1020,False
მწვარი,5,6,204,მcვარი,1020,False
ოცხლებ,5,6,204,ოcხლებ,1020,False
<აგზნე,5,6,203,<აგზნე,1015,False
თვალსა,6,6,169,tვალსა,1014,False
რეკლამ,6,6,169,რეkლამ,1014,False
აკვრა>,6,6,168,აkვრა>,1008,False
თქმული,6,6,168,tkმული,1008,False
წვარი>,5,6,201,cვარი>,1005,False
თვალთვ,5,6,200,tვალtვ,1000,False
სცემს>,5,6,200,სcემს>,1000,False
სადგომ,5,6,200,სადგომ,1000,False
ტარული,6,6,166,tარული,996,False
აწეული,6,6,166,აcეული,996,False
მოკვეთ,6,6,166,მოkვეt,996,False
ყვეტა>,5,6,199,ყვეtა>,995,False
საცმელ,5,6,199,საcმელ,995,False
<მატარ,5,6,199,<მაtარ,995,False
<ბრწყი,5,6,199,<ბრcყი,995,False
ტრუმენ,6,6,165,tრუმენ,990,False
გადაწყ,6,6,165,გადაcყ,990,False
არიგებ,5,6,198,არიგებ,990,False
გადოებ,5,6,197,გადოებ,985,False
ოგადოე,5,6,197,ოგადოე,985,False
რიგება,6,6,164,რიგება,984,False
მტვირთ,5,6,196,მtვირt,980,False
<მეგობ,5,6,196,<მეგობ,980,False
სტრუმე,6,6,163,სtრუმე,978,False
რუმენტ,6,6,163,რუმენt,978,False
ნსტრუმ,6,6,163,ნსtრუმ,978,False
სფერო>,5,6,195,სpერო>,975,False
აღელვე,5,6,195,აგელვე,975,False
მინისტ,5,6,195,მინისt,975,False
სტაბილ,5,6,195,სtაბილ,975,False
მკეთებ,6,6,162,მkეtებ,972,False
სორბცი,5,6,194,სორბcი,970,False
ფორმატ,5,6,194,pორმაt,970,False
უმენტი,6,6,161,უმენtი,966,False
ზღაურე,5,6,193,ზგაურე,965,False
გამართ,5,6,193,გამარt,965,False
მონტაჟ,6,6,160,მონtაj,960,False
მდეგობ,6,6,160,მდეგობ,960,False
<რიცხვ,5,6,192,<რიcხვ,960,False
სიმეტრ,5,6,191,სიმეtრ,955,False
ვატორი,5,6,191,ვაtორი,955,False
ადაწყვ,6,6,159,ადაcყვ,954,False
ღაურებ,5,6,190,გაურებ,950,False
ფენილი,5,6,190,pენილი,950,False
<საფარ,5,6,189,<საpარ,945,False
<სიგნა,5,6,189,<სიგნა,945,False
მწვავე,6,6,157,მcვავე,942,False
<შეწყვ,5,6,188,<შეcყვ,940,False
პერიოდ,5,6,188,pერიოდ,940,False
გვალებ,5,6,188,გვალებ,940,False
ქიმიურ,5,6,188,kიმიურ,940,False
კვეთილ,5,6,188,kვეtილ,940,False
მკრთალ,5,6,187,მkრtალ,935,False
<პროცე,5,6,187,<pროcე,935,False
როდუქტ,6,6,155,როდუkt,930,False
ერითი>,5,6,186,ერიtი>,930,False
რგვალე,5,6,186,რგვალე,930,False
<განცხ,5,6,185,<განcხ,925,False
ნფორმა,6,6,154,ნpორმა,924,False
ანაზღა,5,6,184,ანაზგა,920,False
<ექსპო,6,6,153,<ეkსpო,918,False
ოქმედი,5,6,183,ოkმედი,915,False
მარტივ,5,6,183,მარtივ,915,False
აქორწი,5,6,183,აkორcი,915,False
აწონას,5,6,183,აcონას,915,False
ტანილი,5,6,183,tანილი,915,False
ესრიგე,5,6,182,ესრიგე,910,False
სრიგებ,5,6,182,სრიგებ,910,False
ეთები>,5,6,182,ეtები>,910,True
დგინა>,5,6,182,დგინა>,910,False
<აპარა,6,6,151,<აpარა,906,False
ცდელი>,5,6,181,cდელი>,905,False
კიდება,5,6,181,kიდება,905,False
<დაუწე,5,6,180,<დაუcე,900,False
<კლასი,5,6,180,<kლასი,900,False
განცხა,5,6,180,განcხა,900,False
ანცხად,5,6,180,ანcხად,900,False
ქტები>,5,6,180,ktები>,900,False
ეცილი>,5,6,179,ეcილი>,895,False
ნცხადე,5,6,179,ნcხადე,895,False
იარაღე,6,6,149,იარაგე,894,False
<დიფერ,5,6,178,<დიpერ,890,False
<ტელეგ,5,6,178,<tელეგ,890,False
ივთიერ,5,6,178,ივtიერ,890,False
ნივთიე,5,6,178,ნივtიე,890,False
ულებით,5,6,178,ულებიt,890,False
თვალა>,5,6,178,tვალა>,890,False
ლექტრი,6,6,148,ლეktრი,888,False
აცება>,5,6,177,აcება>,885,False
<წიგნი,5,6,177,<cიგნი,885,False
რობითი,5,6,177,რობიtი,885,False
რენცია,5,6,176,რენcია,880,False
<დაცინ,5,6,176,<დაcინ,880,False
ინანქრ,6,6,146,ინანkრ,876,False
არაღებ,6,6,146,არაგებ,876,True
დადგენ,5,6,175,დადგენ,875,False
აცოცხლ,5,6,175,აcოcხლ,875,False
<გადად,5,6,175,<გადად,875,False
მოწყალ,6,6,145,მოcყალ,870,False
<ნაკად,5,6,174,<ნაkად,870,False
ინისტრ,5,6,174,ინისtრ,870,False
ლეგრაფ,5,6,173,ლეგრაp,865,False
ტორია>,5,6,172,tორია>,860,False
ართმევ,5,6,172,არtმევ,860,False
აბუთებ,6,6,143,აბუtებ,858,False
საბუთე,6,6,143,საბუtე,858,False
კომბინ,5,6,171,kომბინ,855,False
<დეტალ,5,6,171,<დეtალ,855,False
ნამცეც,6,6,142,ნამcეc,852,False
ღებავი,5,6,170,გებავი,850,False
ტაცება,5,6,170,tაcება,850,False
<გავრც,5,6,170,<გავრc,850,False
ლენტურ,5,6,170,ლენtურ,850,False
ადგენი,5,6,170,ადგენი,850,False
კანონე,6,6,141,kანონე,846,False
რციელე,5,6,169,რcიელე,845,False
თლება>,5,6,168,tლება>,840,False
<დაპატ,5,6,168,<დაpაt,840,False
<რეგულ,5,6,168,<რეგულ,840,False
წინაურ,5,6,168,cინაურ,840,False
მდგარი,5,6,167,მდგარი,835,False
ავარცხ,5,6,166,ავარcხ,830,False
თანამდ,5,6,166,tანამდ,830,False
იაცია>,6,6,138,იაcია>,828,False
ამოთვლ,6,6,138,ამოtვლ,828,False
აფასებ,5,6,165,აpასებ,825,False
დამარც,5,6,165,დამარc,825,False
<პირობ,5,6,164,<pირობ,820,False
ამოკლე,5,6,164,ამოkლე,820,False
წითლებ,5,6,163,cიtლებ,815,False
<წინდა,6,6,135,<cინდა,810,False
ლწრფელ,5,6,162,ლcრpელ,810,False
ულწრფე,5,6,162,ულcრpე,810,False
გულწრფ,5,6,162,გულcრp,810,False
ფართოე,5,6,162,pარtოე,810,False
ათეთრე,5,6,161,აtეtრე,805,False
ლისფერ,5,6,160,ლისpერ,800,False
ბიძგებ,5,6,159,ბიძგებ,795,False
ცნობა>,5,6,159,cნობა>,795,False
აინტერ,5,6,159,აინtერ,795,False
მაღარო,5,6,159,მაგარო,795,False
ართოებ,5,6,158,არtოებ,790,False
თრებს>,5,6,158,tრებს>,790,False
კავებუ,5,6,158,kავებუ,790,False
<სათავ,5,6,158,<საtავ,790,False
გამოკვ,5,6,157,გამოkვ,785,False
ტრაცია,5,6,157,tრაcია,785,False
წილება,5,6,155,cილება,775,False
ენტრალ,5,6,155,ენtრალ,775,False
ინტეგრ,5,6,155,ინtეგრ,775,False
კოორდი,5,6,155,kოორდი,775,False
სტატი>,5,6,154,სtაtი>,770,False
ენსაცი,5,6,154,ენსაcი,770,False
პერიმე,5,6,154,pერიმე,770,False
თრება>,5,6,154,tრება>,770,False
ქრებულ,5,6,154,kრებულ,770,False
წვავს>,5,6,154,cვავს>,770,False
<კვერც,5,6,154,<kვერc,770,False
ოკირებ,6,6,128,ოkირებ,768,False
განმეო,6,6,128,განმეო,768,False
მოლოგი,5,6,152,მოლოგი,760,False
არეგულ,5,6,152,არეგულ,760,False
წვრილე,5,6,152,cვრილე,760,False
<დააწყ,5,6,152,<დააcყ,760,False
<დამტვ,5,6,151,<დამtვ,755,False
ეფექტი,5,6,149,ეpეktი,745,False
აგნიტე,5,6,149,აგნიtე,745,False
გნიტებ,5,6,149,გნიtებ,745,False
აწერი>,5,6,149,აcერი>,745,False
<განმე,6,6,124,<განმე,744,False
საწვავ,5,6,148,საcვავ,740,False
<ნათეს,5,6,148,<ნაtეს,740,False
აბიჯებ,5,6,148,აბიjებ,740,False
მინაცი,5,6,147,მინაcი,735,False
არატებ,5,6,147,არაtებ,735,False
<პუნქტ,5,6,147,<pუნkt,735,False
ნჯავს>,5,6,147,ნjავს>,735,False
უწესრი,5,6,147,უcესრი,735,False
<ეფექტ,5,6,147,<ეpეkt,735,False
აქირავ,5,6,146,აkირავ,730,False
<აორთქ,5,6,146,<აორtk,730,False
გარანტ,5,6,146,გარანt,730,False
<კომბი,5,6,144,<kომბი,720,False
<მონაც,5,6,144,<მონაc,720,True
გირავე,5,6,143,გირავე,715,False
გრიგალ,5,6,142,გრიგალ,710,False
ცვლები,5,6,142,cვლები,710,False
რეცხვა,5,6,141,რეcხვა,705,False
აწყენი,5,6,141,აcყენი,705,False
ბლოკირ,6,6,117,ბლოkირ,702,False
<ცილის,6,6,116,<cილის,696,False
ლოკირე,6,6,116,ლოkირე,696,False
აწებებ,5,6,139,აcებებ,695,False
ოგონებ,5,6,139,ოგონებ,695,False
ჯვარედ,5,6,139,jვარედ,695,False
ღვევს>,5,6,138,გვევს>,690,False
სტანცი,5,6,137,სtანcი,685,False
<ინფორ,5,6,137,<ინpორ,685,False
ანკალე,5,6,136,ანkალე,680,False
<გარან,5,6,136,<გარან,680,False
<გამოქ,5,6,135,<გამოk,675,True
აგდებუ,5,6,135,აგდებუ,675,False
<თანდა,5,6,135,<tანდა,675,False
ლებითი,5,6,135,ლებიtი,675,False
<კოორდ,5,6,135,<kოორდ,675,False
რიმენტ,5,6,135,რიმენt,675,False
სპერიმ,5,6,135,სpერიმ,675,False
ქსპერი,5,6,135,kსpერი,675,False
სწავებ,5,6,135,სcავებ,675,False
ეცხვა>,5,6,134,ეcხვა>,670,False
ტყავებ,5,6,134,tყავებ,670,False
აგირავ,5,6,134,აგირავ,670,False
აკეთილ,5,6,133,აkეtილ,665,False
აწვავი,5,6,133,აcვავი,665,False
გლომერ,5,6,133,გლომერ,665,False
ნკალებ,5,6,133,ნkალებ,665,False
ჯანყებ,5,6,133,jანყებ,665,False
ტრალიზ,5,6,132,tრალიზ,660,False
<კოლექ,5,6,131,<kოლეk,655,False
ვლითი>,5,6,130,ვლიtი>,650,False
<დაღვრ,5,6,130,<დაგვრ,650,False
დემოკრ,5,6,130,დემოkრ,650,False
<სიკვდ,5,6,130,<სიkვდ,650,False
გადმოს,5,6,129,გადმოს,645,False
ატავს>,5,6,129,აtავს>,645,False
ემოკრა,5,6,128,ემოkრა,640,False
ოწყალე,5,6,128,ოcყალე,640,False
<რეკლა,5,6,127,<რეkლა,635,False
მოკრატ,5,6,127,მოkრაt,635,False
<პროდუ,5,6,125,<pროდუ,625,False
ფერხებ,5,6,123,pერხებ,615,False
ხატავს,5,6,123,ხაtავს,615,False
<შეთავ,5,6,121,<შეtავ,605,False
<გვირგ,5,6,121,<გვირგ,605,False
<ამპლი,5,6,121,<ამpლი,605,False
ამპლიტ,5,6,121,ამpლიt,605,False
ტაცებუ,5,6,120,tაcებუ,600,False
ავიწრო,5,6,120,ავიcრო,600,False
დაგეგმ,5,6,120,დაგეგმ,600,False
აემტერ,6,6,98,აემtერ,588,False
მპლიტუ,5,6,117,მpლიtუ,585,False
პლიტუდ,5,6,117,pლიtუდ,585,False
რწუნებ,5,6,112,რcუნებ,560,False
ძრწუნე,5,6,112,ძრcუნე,560,False
ონიკურ,5,6,112,ონიkურ,560,False
<დაგეგ,5,6,112,<დაგეგ,560,False
ელოსიპ,5,6,111,ელოსიp,555,False
ოსიპედ,5,6,111,ოსიpედ,555,False
ლოსიპე,5,6,111,ლოსიpე,555,False
აგლომე,5,6,110,აგლომე,550,False
<შექცე,5,6,108,<შეkcე,540,False
<ფერდო,5,6,108,<pერდო,540,False
ფაბრიკ,5,6,108,pაბრიk,540,False
აწილეო,5,6,108,აcილეო,540,False
წილეობ,5,6,108,cილეობ,540,False
ემატურ,5,6,106,ემაtურ,530,False
ანქრებ,5,6,106,ანkრებ,530,False
ბუქსირ,5,6,106,ბუkსირ,530,False
<გულმო,5,6,105,<გულმო,525,False
ნანქრე,5,6,104,ნანkრე,520,False
გლეჯა>,5,6,103,გლეjა>,515,False
ციცხვი,5,6,103,cიcხვი,515,False
ფლანგვ,5,6,102,pლანგვ,510,False
გეგმავ,5,6,102,გეგმავ,510,False
აკონსე,5,6,102,აkონსე,510,False
ჯერადი,5,6,100,jერადი,500,False
ნავიგა,5,6,97,ნავიგა,485,False
ჟანგავ,5,6,96,jანგავ,480,False
<ფარის,5,6,93,<pარის,465,False
სჯელი>,5,6,77,სjელი>,385,False
<პედან,5,6,76,<pედან,380,False
პედანტ,5,6,76,pედანt,380,False
კუმშვი,5,6,72,kუმშვი,360,False
ართულ,41,5,437595,არtულ,17941395,False
თული>,37,5,246594,tული>,9123978,False
რთული,35,5,246572,რtული,8630020,False
ოლოგი,54,5,155650,ოლოგი,8405100,False
ქართუ,16,5,436562,kარtუ,6984992,False
კური>,63,5,94731,kური>,5968053,False
იკური,55,5,94465,იkური,5195575,False
<ქართ,11,5,222462,<kარt,2447082,False
გიური,21,5,92838,გიური,1949598,False
ოგიურ,19,5,92882,ოგიურ,1764758,False
<გამო,199,5,8810,<გამო,1753190,False
ლოგიუ,18,5,92860,ლოგიუ,1671480,False
<გადა,192,5,8135,<გადა,1561920,False
ბითი>,47,5,32598,ბიtი>,1532106,False
-ქართ,7,5,214775,-kარt,1503425,False
ტერმი,7,5,153542,tერმი,1074794,False
გრაფი,32,5,32458,გრაpი,1038656,False
<თვალ,30,5,33332,<tვალ,999960,False
რთულ-,6,5,160345,რtულ-,962070,False
ტიკურ,29,5,32058,tიkურ,929682,False
<ტერმ,6,5,153482,<tერმ,920892,False
<განმ,29,5,31557,<განმ,915153,False
ნიკურ,14,5,61908,ნიkურ,866712,False
ლექსი,7,5,123599,ლეkსი,865193,False
<განა,27,5,31877,<განა,860679,False
ოგია>,26,5,31530,ოგია>,819780,False
ლოგია,25,5,31540,ლოგია,788500,False
ებითი,24,5,31797,ებიtი,763128,False
კანონ,24,5,31358,kანონ,752592,False
რთველ,12,5,61995,რtველ,743940,False
ართვე,12,5,61910,არtვე,742920,False
ოგრაფ,23,5,32075,ოგრაp,737725,False
საზღვ,21,5,31521,საზგვ,661941,False
ექსიკ,5,5,123461,ეkსიk,617305,False
ეოლოგ,10,5,61728,ეოლოგ,617280,False
ქალაქ,10,5,61719,kალაk,617190,False
ქსიკო,5,5,123418,kსიkო,617090,False
სიკონ,5,5,123377,სიkონ,616885,False
<ლექს,6,5,92824,<ლეkს,556944,False
აცია>,123,5,4527,აcია>,556821,False
განმა,16,5,31102,განმა,497632,False
ნოლოგ,8,5,61732,ნოლოგ,493856,False
<საქა,8,5,61553,<საkა,492424,False
სიტყვ,15,5,31426,სიtყვ,471390,False
ცხოვრ,14,5,31352,cხოვრ,438928,False
ტალურ,14,5,31257,tალურ,437598,False
ნგლის,7,5,61613,ნგლის,431291,False
ეტყვე,13,5,31190,ეtყვე,405470,False
ტყველ,13,5,31189,tყველ,405457,False
მეტყვ,13,5,31186,მეtყვ,405418,False
<სიტყ,12,5,31291,<სიtყ,375492,False
ინგლი,6,5,61595,ინგლი,369570,False
<საკა,11,5,31028,<საkა,341308,True
კონი>,5,5,61530,kონი>,307650,False
თბილი,5,5,61476,tბილი,307380,False
<საზღ,9,5,30933,<საზგ,278397,False
ნმარტ,9,5,30892,ნმარt,278028,False
ნაწილ,34,5,8142,ნაcილ,276828,False
<ცხოვ,8,5,31111,<cხოვ,248888,False
თვალა,8,5,31023,tვალა,248184,False
ცნობა,8,5,30923,cნობა,247384,False
ტები>,53,5,4264,tები>,225992,False
<მეტა,7,5,31092,<მეtა,217644,False
